CoinId,Deity,Denomination,Material,Mint,FrontDescription,Portrait,Region,BackDescription,Year
RIC V Diocletian 390,Jupiter,Antoninianus,Silver,Lugdunum,"Bust of Maximian, radiate, draped, right, or bust of Maximian, radiate, draped, cuirassed, right, or bust of Maximian, radiate, cuirassed, right, or bust of Maximian, radiate, helmeted, cuirassed, right or left",Maximian,Gallia,"Jupiter, standing left, holding Victory on globe in right hand and sceptre in left hand; sometimes at foot, eagle",289
RIC V Diocletian 389,Jupiter|Victory,Antoninianus,Silver,Lugdunum,"Bust of Maximian, radiate, cuirassed, right",Maximian,Gallia,"Victory, winged, draped, standing right, presenting wreath to Jupiter standing left, holding globe and sceptre",291
RIC V Diocletian 388,Jupiter,Antoninianus,Silver,Lugdunum,"Bust of Maximian, radiate, draped, cuirassed, right",Maximian,Gallia,"Jupiter, standing left, holding thunderbolt in right hand and sceptre in left hand",286
RIC V Diocletian 387,Jupiter,Antoninianus,Silver,Lugdunum,"Bust of Maximian, radiate, draped, right, or bust of Maximian, radiate, draped, cuirassed, right",Maximian,Gallia,"Jupiter, standing left, holding thunderbolt in right hand and sceptre in left hand; at foot, eagle",288
RIC I (second edition) Gaius/Caligula 53,,Sestertius,Bronze,Rome,"Head of Caligula, laureate, left",Gaius/Caligula,Italy,Legend in four lines in oak-wreath,40|41
RIC I (second edition) Gaius/Caligula 52,,Quadrans,Bronze,Rome,Pileus flanked by S C,,Italy,Legend surrounding RCC large in center of field,40|41
RIC I (second edition) Gaius/Caligula 51,Pietas,Sestertius,Bronze,Rome,"Pietas, veiled, draped, seated left, holding patera in right hand and resting left arm on a small draped figure, standing on a basis, facing",Gaius/Caligula,Italy,"Front view of hexastyle garlanded temple surmounted by quadriga. In front, Caligula, veiled and togate, sacrifices with patera over garlanded altar right; one attendant leads bull to altar right; a second holds patera",40|41
RIC I (second edition) Gaius/Caligula 50,,As,Bronze,Rome,"Head of Germanicus, bare, left",Germanicus,Italy,Legend surrounding S C,40|41
RIC I (second edition) Gaius/Caligula 49,,Dupondius,Bronze,Rome,Nero and Drusus Caesar riding right cloaks flying,Drusus the Elder|Drusus Caesar,Italy,Legend surrounding S C,40|41
RIC I (second edition) Gaius/Caligula 48,,Sestertius,Bronze,Rome,"Head of Caligula, laureate, left",Gaius/Caligula,Italy,"Caligula, bare-headed and togate, standing, left, on low platform on right extending right hand to five soldiers standing in front of him, helmeted with shields and parazonia; the two rearmost pairs carry an aquila",40|41
RIC I (second edition) Gaius/Caligula 47,Vesta,As,Bronze,Rome,"Head of Caligula, bare, left",Gaius/Caligula,Italy,"Vesta, veiled and draped, seated left, on throne with ornamented back and legs, holding patera in right hand and long transverse sceptre in left",39|40
RIC I (second edition) Gaius/Caligula 46,,Sestertius,Bronze,Rome,"Head of Caligula, laureate, left",Gaius/Caligula,Italy,Legend in four lines in oak-wreath,39|40
RIC I (second edition) Gaius/Caligula 45,,Quadrans,Bronze,Rome,Pileus flanked by S C,,Italy,Legend surrounding RCC large in center of field,39|40
RIC I (second edition) Gaius/Caligula 44,Pietas,Sestertius,Bronze,Rome,"Pietas, veiled, draped, seated left, holding patera in right hand and resting left arm on a small draped figure, standing on a basis, facing",Gaius/Caligula,Italy,"Front view of hexastyle garlanded temple surmounted by quadriga. In front, Caligula, veiled and togate, sacrifices with patera over garlanded altar right; one attendant leads bull to altar right; a second holds patera",39|40
RIC I (second edition) Gaius/Caligula 43,,As,Bronze,Rome,"Head of Germanicus, bare, left",Germanicus,Italy,Legend surrounding S C,39|40
RIC I (second edition) Gaius/Caligula 42,,Dupondius,Bronze,Rome,Nero and Drusus Caesar riding right cloaks flying,Drusus the Elder|Drusus Caesar,Italy,Legend surrounding S C,39|40
RIC I (second edition) Gaius/Caligula 41,,Sestertius,Bronze,Rome,"Head of Caligula, laureate, left",Gaius/Caligula|Agrippina the Younger|Drusilla|Julia Livilla,Italy,"Three sisters of Caligula in guise of Securitas (Agrippina)), Concordia (Drusilla)), and Fortuna (Julia), standing side by side to front",39|40
RIC I (second edition) Gaius/Caligula 40,,Sestertius,Bronze,Rome,"Head of Caligula, laureate, left",Gaius/Caligula,Italy,"Caligula, bare-headed and togate, standing, left, on low platform on right extending right hand to five soldiers standing in front of him, helmeted with shields and parazonia; the two rearmost pairs carry an aquila.",39|40
